speed_adv,stat_adv,coverage_adv,weakness_adv,hp_adv,atk_adv,sp_atk_adv,def_adv,type_diversity_adv,role_balance_a,matchup_adv,speed_control_adv,dmg_matchup_adv,winner
7.25,-24.75,-5.0,0.25,-6.5,-18.75,13.75,-24.0,-1.0,0.4,0.75,2.0,0.4233,0
-8.25,66.0,-5.0,0.25,4.75,0.75,22.5,31.25,-1.0,0.6,0.0,-1.0,0.0083,1
-3.75,25.0,0.0,1.25,12.5,22.0,-11.25,18.0,-1.0,0.8,-1.125,0.0,-0.4875,1
-7.5,-37.0,1.0,0.25,17.5,-18.75,7.5,-39.75,1.0,0.4,0.0,0.0,-0.15,1
4.0,86.75,2.0,0.0,23.5,29.25,5.25,6.25,-1.0,0.6,-0.75,0.0,-0.1183,1
22.75,-8.25,0.0,1.0,-11.5,-10.25,6.0,-16.25,0.0,0.6,0.25,3.0,0.0317,0
-6.25,-70.0,-8.0,2.5,-8.75,3.75,-12.5,-48.75,-4.0,0.4,2.25,-1.0,1.3083,0
-26.5,-49.25,-3.0,0.25,-1.25,-10.25,1.25,-7.5,-1.0,0.4,0.0,-4.0,-0.1767,1
0.5,-60.0,-2.0,1.0,9.0,16.75,-50.0,-31.25,-1.0,0.6,0.5,1.0,0.175,0
26.75,111.5,-1.0,1.5,9.25,9.75,36.25,18.25,1.0,0.2,-0.25,3.0,0.1933,0
0.0,60.0,0.0,0.5,12.75,6.25,4.75,15.0,1.0,0.6,-0.75,0.0,-0.52,0
23.5,204.0,3.0,0.25,18.75,44.5,31.25,40.0,0.0,0.4,-0.375,4.0,0.2975,0
-42.25,-97.75,-3.0,1.0,-10.5,7.5,-43.75,32.5,-1.0,0.4,0.0,-4.0,-0.1417,1
15.0,-8.75,-1.0,0.5,-21.25,-29.5,33.75,-16.75,1.0,0.6,1.625,3.0,0.7733,0
-37.75,-129.25,1.0,-1.0,-16.25,-37.75,-7.5,-13.75,1.0,0.4,-0.75,-4.0,-1.0167,1
-4.75,60.25,5.0,-1.0,6.25,5.75,15.5,20.5,2.0,0.6,-0.5,-1.0,-0.1367,0
-31.5,31.75,8.0,-1.75,20.5,9.25,5.75,15.75,4.0,0.4,-1.0,-4.0,-0.4583,1
22.5,6.25,2.0,0.5,-3.5,-20.75,2.5,1.75,2.0,0.6,-0.75,3.0,-0.3883,0
5.75,101.75,4.0,-2.5,-23.75,31.75,46.75,46.25,2.0,0.6,0.25,2.0,0.5033,0
-29.75,-104.25,-1.0,0.25,-12.25,-34.0,-5.25,-11.75,0.0,0.6,-0.25,-4.0,-0.4867,1
2.5,104.75,2.0,-1.0,22.25,9.75,26.75,19.25,1.0,0.8,-0.25,0.0,-0.04,1
7.5,125.0,8.0,0.25,32.25,28.5,16.25,36.75,2.0,0.2,-0.25,1.0,-0.0817,0
-6.75,-30.0,2.0,-0.75,18.75,-10.0,-7.5,-19.5,1.0,0.4,-1.0,-1.0,-0.725,1
-24.75,-82.25,3.0,0.5,-5.0,-12.5,-20.0,-1.25,2.0,0.4,-0.5,-3.0,-0.6083,1
-31.25,30.0,2.0,-0.5,21.25,19.25,-7.5,34.5,1.0,0.6,-0.25,-3.0,-0.1133,1
7.5,52.0,2.0,-0.5,5.25,9.5,10.0,20.75,1.0,0.4,-0.25,0.0,0.1583,0
16.5,110.75,3.0,-1.75,30.0,9.5,37.5,-1.5,2.0,0.6,0.0,1.0,0.2833,0
-28.75,-62.5,-4.0,0.5,-15.0,-4.5,-18.75,15.75,-2.0,0.6,0.75,-3.0,0.2917,1
-16.0,10.25,1.0,0.0,6.25,9.75,-7.25,7.5,1.0,0.6,0.75,-2.0,0.4083,0
-12.75,67.25,4.0,-0.75,13.0,22.5,16.0,-1.25,1.0,0.6,0.0,-3.0,0.2417,1
